S-10B
S-3C Kaldi 0 [0.341991341991342] S:37, I:12, D:27
S-3C Google 1 [0.40397350993377484] S:23, I:1, D:28
S-3C Kaldi 1 [0.3443708609271523] S:29, I:6, D:15
S-3C Google 2 [0.4381720430107527] S:50, I:4, D:108
S-3C Kaldi 2 [0.2903225806451613] S:57, I:2, D:49
S-3C Google 3 [0.32894736842105265] S:43, I:3, D:24
S-3C Kaldi 3 [0.21052631578947367] S:36, I:2, D:10
S-3C Google 4 [0.3900226757369615] S:91, I:9, D:70
S-3C Kaldi 4 [0.22448979591836735] S:64, I:5, D:30
S-3C Google 5 [0.40074906367041196] S:40, I:1, D:64
S-3C Kaldi 5 [0.299625468164794] S:40, I:2, D:36
S-12D
S-12D Google 0 [0.5508474576271186] S:27, I:0, D:33
S-12D Kaldi 0 [0.3135593220338983] S:22, I:1, D:14
S-12D Google 1 [0.5612903225806452] S:32, I:1, D:53
S-12D Kaldi 1 [0.36774193548387096] S:38, I:2, D:17
S-12D Google 2 [0.4642857142857143] S:18, I:0, D:20
S-12D Kaldi 2 [0.2976190476190476] S:10, I:3, D:12
S-12D Google 3 [0.5977011494252874] S:27, I:0, D:24
S-12D Kaldi 3 [0.3333333333333333] S:15, I:1, D:13
S-12D Google 4 [0.4444444444444444] S:39, I:0, D:39
S-12D Kaldi 4 [0.24444444444444444] S:27, I:1, D:15
S-12D Google 5 [0.577922077922078] S:38, I:0, D:47
S-12D Kaldi 5 [0.35714285714285715] S:33, I:0, D:21
S-18B
S-18B Google 0 [0.41156462585034015] S:45, I:0, D:74
S-18B Kaldi 0 [0.272108843537415] S:56, I:6, D:18
S-18B Google 1 [0.341991341991342] S:27, I:1, D:49
S-18B Kaldi 1 [0.19913419913419914] S:26, I:7, D:12
S-18B Google 2 [0.4090909090909091] S:33, I:1, D:37
S-18B Kaldi 2 [0.25] S:32, I:6, D:6
S-18B Google 3 [0.4112903225806452] S:44, I:3, D:55
S-18B Kaldi 3 [0.21774193548387097] S:36, I:6, D:10
S-18B Google 4 [0.3237410071942446] S:33, I:3, D:52
S-18B Kaldi 4 [0.25539568345323743] S:35, I:10, D:25
S-18B Google 5 [0.30633802816901406] S:37, I:1, D:49
S-18B Kaldi 5 [0.14788732394366197] S:24, I:6, D:12
S-18B Google 6 [0.2956521739130435] S:16, I:1, D:11
S-18B Kaldi 6 [0.17391304347826086] S:9, I:3, D:7
S-18B Google 7 [0.3197969543147208] S:36, I:5, D:18
S-18B Kaldi 7 [0.18274111675126903] S:23, I:4, D:9
S-18B Google 8 [0.5] S:9, I:0, D:9
S-18B Kaldi 8 [0.3684210526315789] S:9, I:0, D:5
S-18B Google 9 [1.125] S:9, I:0, D:0
S-18B Kaldi 9 [0.875] S:5, I:2, D:0
S-18B Google 10 [0.3194444444444444] S:7, I:0, D:11
S-18B Kaldi 10 [0.3333333333333333] S:17, I:5, D:2
